BA,CA,BT,BU,PC,AC,BH,CC,CG,ER,DP,EL,BY,BF,RI,BP,BV,CH,DF,PJ,FP,BC,BO,DL,BL
0,0,0,0,0,0.000194628260023355,0,0.0251070455430128,0,0.00116776956014013,0.012066952121448,0.0101206695212145,0.14383028415726,0,0,0,0.0153756325418451,0,0.0217983651226158,0.00330868042039704,0,0,0,0.76566757493188,0
0.00302114803625378,0,0,0,0,0.000318015582763555,0.000159007791381778,0.0316425504849738,0,0.0190809349658133,0.0179678804261409,0.01431070122436,0.258387660995389,0,0,0,0.0221020830020671,0,0.0298934647797742,0.00763237398632533,0,0,0,0.593576085228176,0.000318015582763555
0.00513858611024603,0,0,0,0,0.00077857365306758,0.000155714730613516,0.0179071940205543,0,0.0188414824042354,0.0280286515104329,0.0171286203674868,0.210993459981314,0,0,0,0.0269386483961383,0,0.0267829336655248,0.00654001868576767,0.000311429461227032,0,0,0.638741824976643,0.000311429461227032
0,0,0,0.0222300635144672,0.0031757233592096,0.26605504587156,0,0.0928016937191249,0,0.0402258292166549,0.00211714890613973,0,0.0345800988002823,0,0,0.222300635144672,0,0,0,0,0.00141143260409315,0.125264643613267,0,0.162667607621736,0.0257586450247001
0.11950325732899,0,0,0,0.00631107491856678,0.391897394136808,0.000407166123778502,0.0419381107491857,0.0177117263843648,0.0694218241042345,0,0,0,0,0.000203583061889251,0.178338762214984,0.0317589576547231,0,0.0684039087947883,0,0.000814332247557003,0,0.0612785016286645,0,0.00956840390879479
0.0983779228986728,0.037076048030335,0,0.030966926479882,0,0.398567516326101,0,0.0602485780492943,0.016642089740889,0.0720455024225827,0,0.00821571518854013,0,0,0,0.132294080471877,0.0351801137560565,0.0263324204760902,0.0764693490625658,0,0.000210659363808721,0,0,0,0.00568780282283547
0.137085703079035,0,0,0,0.100411845459894,0.485781525789371,0.000588350656991567,0.0949205726613061,0,0.0851147283781134,0,0,0,0,0.000196116885663856,0,0.019023337909394,0,0.0527554422435772,0.0211806236516964,0.00156893508531085,0,0,0,0
0,0.00620876988746605,0,0,0,0.159293752425301,0.00116414435389988,0.0566550252231277,0.0209545983701979,0.0357004268529298,0.00232828870779977,0,0,0,0,0.13581684128832,0,0.0258051998447808,0.0358944509119131,0,0.00097012029491657,0.231664726426077,0.123205277454404,0.162592161428017,0
0.179123025031067,0.0592934493165276,0,0.0459790520149121,0,0.173619740813066,0,0.137759630747382,0.0092313154624534,0.0390555654180721,0,0.0184626309249068,0,0,0.000177525297354873,0,0,0.0408308183916208,0.278714716847151,0.0142020237883898,0,0,0,0,0.00213030356825848
0,0,0,0,0.0474358974358974,0.465598290598291,0,0.101709401709402,0,0.0895299145299145,0,0,0,0,0,0,0.0284188034188034,0.0647435897435897,0.0668803418803419,0,0.00192307692307692,0,0.115384615384615,0,0.0151709401709402
