BA,CA,BT,BU,PC,AC,BH,CC,CG,ER,DP,EL,BY,BF,RI,BP,BV,CH,DF,PJ,FP,BC,BO,DL,BL
0,0,0,0,0,0.000206780848579214,0,0.0266747294667186,0,0.00124068509147528,0.0128204126119113,0.0107526041261191,0.152811047100039,0,0,0,0.0163356870377579,0,0.0231594550408719,0.00351527442584663,0,0,0,0.813475858310627,0
0.0058429003021148,0,0,0,0,0.000615042137064716,0.000307521068532358,0.0611966926379393,0,0.036902528223883,0.0347498807441565,0.0276768961679122,0.499721736365082,0,0,0,0.0427454285259978,0,0.0578139608840833,0.0147610112895532,0,0,0,1.14797614883129,0.000615042137064716
0.0104621613204609,0,0,0,0,0.00158517595764559,0.000317035191529119,0.0364590470258486,0,0.0383612581750234,0.0570663344752414,0.0348738710682031,0.429582684521956,0,0,0,0.0548470881345375,0,0.0545300529430084,0.013315478044223,0.000634070383058238,0,0,1.30047835565244,0.000634070383058238
0,0,0,0.0544970007057163,0.00778528581510233,0.652233944954128,0,0.227503352152435,0,0.0986136203246295,0.00519019054340155,0,0.084773112208892,0,0,0.544970007057163,0,0,0,0,0.00346012702893437,0.307086273817925,0,0.398779640084686,0.0631473182780522
0.331442284201954,0,0,0,0.017503766286645,1.08692742263844,0.00112927524429967,0.116315350162866,0.0491234731270358,0.192541429153094,0,0,0,0,0.000564637622149837,0.494622557003257,0.0880834690553746,0,0.189718241042345,0,0.00225855048859935,0,0.169955924267101,0,0.0265379682410423
0.251109648198862,0.09463661259743,0,0.0790430798398989,0,1.01734358542237,0,0.153784495470824,0.0424789340636191,0.183896144933642,0,0.0209706130187487,0,0,0,0.337680640404466,0.0897972403623341,0.0672135032652201,0.195188013482199,0,0.000537708026121761,0,0,0,0.0145181167052875
0.323316630711904,0,0,0,0.23682133751716,1.14571572857423,0.00138762502451461,0.223870170621691,0,0.20074308687978,0,0,0,0,0.000462541674838204,0,0.0448665424593057,0,0.124423710531477,0.049954500882526,0.00370033339870563,0,0,0,0
0,0.0166550252231277,0,0,0,0.427305490880869,0.00312281722933644,0.15197710516104,0.0562107101280559,0.0957663950329841,0.00624563445867288,0,0,0,0,0.364328676755918,0,0.0692224485836244,0.0962868645712068,0,0.0026023476911137,0.621440628637951,0.33049815677144,0.436153473030656,0
0.344901384697319,0.114169536658974,0,0.0885326646547133,0,0.334304810935558,0,0.265256169004083,0.017774897922954,0.0752014912124978,0,0.035549795845908,0,0,0.000341824960056808,0,0,0.0786197408130659,0.536665187289189,0.0273459968045447,0,0,0,0,0.0041018995206817
0,0,0,0,0.111308333333333,1.09252638888889,0,0.238661111111111,0,0.210081944444444,0,0,0,0,0,0,0.0666847222222222,0.151920833333333,0.156934722222222,0,0.0045125,0,0.27075,0,0.0355986111111111
0,0,0,0,0,0.4375590917381,0.00136594929782966,0.247236822907168,0.0956164508480759,0.071484679919752,0.0177573408717855,0,0.182126573043954,0,0.00136594929782966,0.779501732628123,0,0,0,0,0.00227658216304943,0,0,0.654745030093015,0
0,0.0251782794500186,0,0,0,0.655662950575994,0.00102768487551096,0.211189241917503,0.0930054812337421,0.096088535860275,0.0133599033816425,0,0.223007617985879,0,0.000513842437755481,0.741988480118915,0,0,0,0,0.00308305462653289,0,0,0.695742660720922,0
0,0.0165259380766865,0,0,0,0.643539470986262,0.000486057002255485,0.180327147836785,0.0918647734262866,0.0874902604059873,0.0126374820586426,0,0,0,0.00145817100676645,0.321283678490876,0.107418597498462,0,0,0,0.00145817100676645,0.330032704531474,0,0.571116977650195,0
0,0,0,0,0,0.482169296375267,0.000531023454157782,0.336137846481876,0,0.0769984008528785,0.0138066098081023,0,0.193292537313433,0,0.00159307036247335,0.57244328358209,0,0,0,0.0993013859275053,0.00743432835820896,0,0,0.702013006396589,0
0.327367816091954,0,0,0,0.213459131545338,1.09553352490421,0,0.133531609195402,0,0.192400383141762,0,0,0,0,0.00143582375478927,0,0.0488180076628352,0,0.138796296296296,0.0612618135376756,0.00191443167305236,0,0,0,0.0296736909323116
0.259646702230844,0.22446629485936,0,0.0543001939864209,0.398073957322987,0.558680164888458,0.00305916585838991,0.0833622696411251,0,0.267677012609117,0,0,0,0,0.00114718719689622,0,0,0,0.508203928225024,0,0.00114718719689622,0,0,0,0
0,0,0,0.0363675745016775,0,0.940653443852378,0.00122587329780935,0.231690053285968,0.114414841128873,0.165492895204263,0,0,0,0,0.000817248865206236,0,0.0126673574106967,0,0.471552595223998,0.062110913755674,0.00204312216301559,0,0,0,0.0220657193605684
0.408598976780795,0,0,0,0.0894831759149941,0.928745474222747,0,0.136880657221566,0,0.142601042896497,0,0,0,0,0.00081719795356159,0,0.0404512987012987,0,0.165891184573003,0.0514834710743802,0.00326879181424636,0,0.099698150334514,0,0
